Community Lifeline Component,Community Lifeline sub-component,Identification/Name of Asset,Time of Ground Truth Requirement,Time when Requirement is no longer needed,Percentage of Impact,"Impact Status (Operational, Not Operational, Partially Operational)",Status Description of Impact,MMI_INT,Address,City,FEMA Region,State,County,Coordinates,How Injected,Notes,Data Requested By:
Food,Commercial Food Distribution,Samburg Fire Department,"Wednesday, May 29",,,,,,246 S. Reelfoot Ave.,Samburg,IV,Tennessee,BEDFORD,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Bargery Farms,"Wednesday, May 29",,,,,,100 S. Main Street,Ridgely,IV,Tennessee,Bledsoe,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Gibson Co. Fire Station #3 Brazil,"Wednesday, May 29",,,,,,317 Gibson Wells Brazil Road,Trenton,IV,Tennessee,Blound,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,"Carroll County
 Civic Center","Wednesday, May 29",,,,,6,201 Mustang Drive,Huntington,IV,Tennessee,Carroll,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Veterans Park,"Wednesday, May 29",,,,,6,Northwoods Drive,Huntington,IV,Tennessee,Carroll,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Westview High School,"Wednesday, May 29",,,,,6,8161 Hwy 45 S.,Martin,IV,Tennessee,COFFEE,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Obion County Vo Tech Building,"Wednesday, May 29",,,,,,1700 N.5th Street,Union City,IV,Tennessee,Coffee,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,East Side Elementary School,"Wednesday, May 29",,,,,,1100 Miles Ave,Union City,IV,Tennessee,Coffee,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Alamo Fire Dept.,"Wednesday, May 29",,,,,,74 East Park St,Alamo,IV,Tennessee,Crockett,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Holly Grove Church,"Wednesday, May 29",,,,,,6701 Poplar Co. Rd.,Bells,IV,Tennessee,Crockett,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Union-Woodland,"Wednesday, May 29",,,,,,8965 Hwy 70 E,Bells,IV,Tennessee,Crockett,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Bolivar Fire Department,"Wednesday, May 29",,,,,,211 N. Washington Street,Bolivar,IV,Tennessee,Crockett,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,McKenzie City Park,"Wednesday, May 29",,,,,6,570 Como Street,McKenzie,IV,Tennessee,Crockett,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Hickory Withe Fire Department (North),"Wednesday, May 29",,,,,,Orr Rd,Arlington,IV,Tennessee,DAVIDSON,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Grand Junction Fire Dept.,"Wednesday, May 29",,,,,,170 Tippah Street,Grand Junction,IV,Tennessee,DAVIDSON,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Greenfield School,"Wednesday, May 29",,,,,,312 W. Main St,Greenfield,IV,Tennessee,DAVIDSON,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Oakland Fire Department,"Wednesday, May 29",,,,,,170 Doss,Oakland,IV,Tennessee,DAVIDSON,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Macon Fire Department,"Wednesday, May 29",,,,,,875 Hwy 194,Oakland,IV,Tennessee,DAVIDSON,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,South Side School,"Wednesday, May 29",,,,,,29855 Hwy. 104 S,Reagan,IV,Tennessee,Decatur,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,First Baptist Church,"Wednesday, May 29",,,,,,300 Main Street,Ridgely,IV,Tennessee,Decatur,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Dyersburg Fire Stat. One,"Wednesday, May 29",,,,,,216 S Church,Dyersburg,IV,Tennessee,Dyer,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,"Dyersburg County
 Fair Grounds","Wednesday, May 29",,,,,,119 James Rice Rd,Dyersburg,IV,Tennessee,Dyer,,,PREDICTED CPOD Locations,
Food,Commercial Food Distribution,Dyer Co. High School,"Wednesday, May 29",,,,,,1000 W Main ST,Dyersburg,IV,Tennessee,Dyer,,,PREDICTED CPOD Locations,
