field0001,field0002,field0003,field0004,field0005,field0006,field0007,field0008,field0009,field0010,field0011,field0012,field0013,field0014,field0015,field0016,field0017,field0018,field0019,field0020,field0021,field0022,field0023,field0024,field0025,field0026,field0027,field0028,field0029,field0030,field0031,field0032,field0033,field0034,field0035,field0036,field0061,field0062,field0063,field0064,field0065,field0066,field0067,field0068,field0069,field0070,field0071,field0072,field0073,field0074,field0075,field0076,field0077,field0078,field0079,field0080,field0084,field0085,field0086,field0087,field0088,field0089,field0090,field0091,field0092,field0093,field0094,field0095,field0096,field0097,field0098,field0099,field0100,field0101,field0102,field0103,field0104,field0105,field0106,field0107,field0108,field0109,field0110,field0111,field0112,field0113,field0114,field0115,field0116,field0117,field0118,field0119,field0120,field0121,field0122,field0123,field0124,field0125,field0126,field0127,field0128,field0129,field0130,field0131,field0132,field0133,field0134,field0135,field0136,field0137,field0138,field0139,field0140,field0141,field0142,field0143,field0144,field0145,field0146,field0147,field0148,field0149,field0150,field0151,field0152,field0153,field0154,field0155,field0156,field0157,field0158,field0159,field0160,field0161,field0162,field0163,field0164,field0165,field0166,field0167,field0168,field0169,field0170,field0171,field0172,field0173,field0174,field0175,field0176,field0177,field0178,field0179,field0180,field0181,field0182,field0183,field0184,field0185,field0186,field0187,field0188,field0189,field0190,field0191,field0192,field0193,field0194,field0195,field0196,field0197,field0198,field0199,field0200,field0201,field0202,field0203,field0204,field0205,field0206,field0207,field0208,field0209,field0210,field0211,field0212,field0213,field0214,field0215,field0216,field0217,field0218,field0219,field0220,field0221,field0222,field0223,field0224,field0225,field0226,field0227,field0228,field0229,field0230,field0231,field0232,field0233,field0234,field0235,field0236,field0237,field0238,field0239,field0240,field0241,field0242,field0243,field0244,field0245,field0246,field0247,field0248,field0249,field0250
Shelter Number,Agency System ID,ARC Chapter Code,Agency/Chapter Name,Agency Operating Shelter,Agency Type,Agency Operating Shelter (if other),Shelter Name,Shelter Population Type,Shelter Type Other,Shelter Is Inactive Flag,Reason for Inactivation,Usable Square Footage,Evacuation Capacity,Post Impact Capacity,Shelter Phone Note,Shelter Status,Shelter is suitable for Evacuation and/or Post Impact,Physical Street Address 1,Physical Street Address 2,Township/Suburb/Neighborhood,Physical City,Physical State,Physical County/Parish,Physical Zip,Shelter Hub,Shelter School District,Mailing Address Same as Physical,Mailing Street Address 1,Mailing Street Address 2,Mailing City,Mailing State,Mailing Zip,Shelter Phone,Shelter Phone Extension,Shelter Fax,FEMA Region,GNIS Code (FEMA),Longitude,Latitude,Elevation,In Storm Surge/SLOSH Area,In Flood Plain,Pet Facilities,Facility Directions,General Notes,Facility Check Complete,Release Facility Complete,Survey Form 6564 Last Updated,Agreement Date,Charge for Use of Facility,Facility Charge Comments,Gender Served,Shelter Remarks/Notes,Assigned Team,Chapter Contact First Name,Hurricane Compliant (ARC F4496),Hurricane Compliant (ARC F4496) Notes,Chapter Contact Phone Note,Chapter Contact Title,IAVM Member Facility,Survey Completed By,Survey Completed By Date,Survey Entered By,Survey Entered By Date,Survey Updated By,Survey Updated By Date,Floor Plan Available,Limitations of Use Type,Limit1 Start Date,Limit1 End Date,Limit2 Start Date,Limit2 End Date,Facility Restrictions,Facility Phone Note,Facility Title,Construction Wood Frame,Construction Masonry (Brick),Construction Bungalow,Construction Prefabricated,Construction Concrete,Construction Metal,Construction Trailer,Construction Pod,Number Of Floors,Long or Open Roof Span,Long or Open Roof Span Notes,Windows In Sleeping Area,Windows Earthquake Safe,Windows Hurricane Safe,Fire Extinguishers,Fire Sprinklers,Fire Alarms,Fire Alarms Type,Fire Alarm Alert Fire Dept.,Fire Dept. Comments,Supporting Transport Infrastructure,Showers,Shower Availability Limitations,On Site Shower Alternatives,Off Site Shower Alternatives,Toilets,Refrigeration Units,Total Hand Washing Stations,Hand Washing Stations for Men,Hand Washing Stations for Women,Hand Washing Stations for Unisex,Hand Washing Stations for Universal Access,Facility Contact First Name,Facility Contact Last Name,Facility Contact Agency,Facility Contact Phone,Facility Contact Phone Extension,Self Sufficient Power,Emergency Generator On Site,Generator Comments,Heating Electric,Heating Natural Gas,Heating Propane,Heating Fuel Oil,Cooling Electric,Cooling Natural Gas,Cooling Propane,Cooking Electric,Cooking Natural Gas,Cooking Propane,Water Municipal,Water Well(s),Water Trapped,Feeding None On Site,Feeding Snackbar,Feeding Cafeteria,Feeding Other,Feeding Snackbar Seats,Feeding Cafeteria Seats,Feeding Other Seats,Total Seating for Eating,Comments Related to Feeding,"Facility built in 1993 or later, or extensively altered in 1992 or later.",Parking available.,Accessible parking space(s).,Van accessible parking space(s).,Van accessible parking space(s) notes.,Permanent drop-off area/loading zone with marked access aisle OR space available to designate as temporary drop-off area/loading zone.,Sidewalk connects parking area and any drop-off area to at least one facility entrance.,Route from accessible parking space and any drop-off area/loading zone to at least one facility entrance has not steps or curbs without curb cuts.,"Where route crosses curb, curb cuts are at least 36",Automatic doors or doors without knob hardware.,Doorways at least 32,Level landings on interior and exterior sides of entry door.,No objects protrude from the side more than four inches into the route to the facility entrance.,"If the main facility entrance does not appear to be accessible, another entry is accessible.",A sign identifies the location of the accessible entrance.,"A route without steps is available to access each service delivery area, as well as restrooms and showers OR service can be provided in area that can be accessed by route with no steps.","Using a yard stick held horizontally at your waist level, walk from the facility entrance to each service delivery area, as well as restrooms and showers. Except at doorways (which must be only 32",Route has a vertical clearance of at least 80,No objects protrude from the side more than 4,Automatic doors or doors without knob hardware.,Doorway at least 32,"If a service delivery area is accessible only by elevator, there is back-up power for the elevator(s).",Ramps are at least 36,Fixed,Portable,Not Provided,"If ramps are longer than 30 feet, a level landing at least 60",Area where person in a wheelchair can turn around (60-inch diameter circle or T-shape turn area).,Doorways at least 32,Doors without knob hardware.,Toilet seat is 17,Toilet centerline is 16,Stall at least 60,Space at least 9,Appropriate grab bars.,Toilet paper dispenser is within 36,At least one accessible sink.,Showers Available,At least one accessible shower stall with appropriate grab bars.,Transfer Stall,Roll-In Shower,Not Provided,Shower seat 17,Hand-held shower spray with ability to mount at 48,"Controls do not require tight grasping, pinching or twisting and are mounted 38",At least some tables have tops 28,Serving line or counter no higher than 34,Relevant areas of the facility are accessible to people with disabilities without adjustments.,"Facility has at least one accessible entrance, and one accessible restroom, and otherwise is capable of being made accessible during a disaster with minor adjustments.",Facility would require extensive adjustments to be accessible during a disaster.,Adjustments for Accessibility: Please identify any adjustments or enhancements that should be made to make the relevant areas of the facility accessible during a disaster.,Available Rooms,Available Beds or Cots,Rooms Needed,Beds or Cots Needed,Total Health Care Square Footage,"Children‘s supplies (cribs, diapers and changing tables)",Additional Information,Child-friendly area/space,Additional Information,Clothes Washers,Clothes Dryers,Access to Washer/Dryer,Coin Operated Washer/Dryer,Laundry Conditions or Restrictions,Shelter Management Own Building,Written Agreement to Use Site,Within Five Miles of Evacuation Route,Within Ten Miles of Nuclear Power Plant,Staff Required,Paid Feeding Staff Required,Church Auxiliary Required,Fire Auxiliary Required,Other,Other Required,Other,Other Required,Experienced in Shelter Management,Shelter Management Experience List,Create Id,Create Agency Id,Create Date/Time Stamp,Edit Id,Edit Agency Id,Edit Date/Time Stamp
1154,420748,17340,Kentucky Region,ARC,ARC Managed,,East Valley Elementary School,Other,SCHOOL,NO,,,250,0,,Closed,E,7585 Highway 172,,,West Liberty,KY,Morgan,41472,7,,NO,9199 HIGHWAY 172,,West Liberty,KY,41472,,,,4,,-83.14652381,37.95510543,0,,,,,,,,,,,,Either,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,0,0,0,,,,,,,,,,,YES,,,,,,,,,,,YES,,,YES,YES,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Paul Kern,Kentucky Region,10/06/2015 09:11:48 MDT
1176,420748,17340,Kentucky Region,ARC,ARC Managed,,JCPS Doss High School,General,,NO,,7564,378,189,,Closed,B,7601 Saint Andrews Church Road,,,Louisville,KY,Jefferson,40214,3,,NO,,,,,,5024858275,,,4,,-85.81315821,38.15445732,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Gregory Reinhardt,Kentucky Region,08/29/2017 12:05:27 MDT
1231,420748,17340,Kentucky Region,ARC,ARC Managed,,F D Wilkinson Gym,General,,NO,,4000,200,100,,Closed,B,315 Ewing Street,,,Frankfort,KY,Franklin,40601,4,,NO,,,,,,,,,4,,-84.88103888,38.19387187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,YES,NO,NO,NO,NO,NO,NO,2,YES,100,YES,,,YES,,YES,,,,,18,,,,,1,,,,,,,,,,,,,,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,YES,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Lauri Martin,Kentucky Region,01/12/2019 18:32:15 MST
1246,420748,17340,Kentucky Region,ARC,ARC Managed,,Western Hills High School,General,,NO,,10000,500,250,,Closed,B,100 Doctors Drive,,,Frankfort,KY,Franklin,40601,4,,NO,,,,,,,,,4,,-84.90699408,38.16139493,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Dennis Lutz,Kentucky Region,08/13/2017 07:28:59 MDT
1347,420748,17340,Kentucky Region,Other,ARC Supported,,Morgan County Elementary School,Other,SCHOOL,NO,,,200,0,,Closed,E,450 Prestonburg Road,,,West Liberty,KY,Morgan,41472,7,,YES,450 Prestonburg Road,,West Liberty,KY,41472,,,,4,,-83.25468347,37.92102518,0,,,,,,,,,,,,Either,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Paul Kern,Kentucky Region,10/06/2015 09:13:21 MDT
1425,420750,35072,Greater Cincinnati-Dayton Region,ARC,ARC Managed,,John W Reily Elementary School,General,,NO,,28000,1400,700,,Closed,B,10631 Alexandria Pike,,,ALEXANDRIA,KY,CAMPBELL,41001,35R12,Campbell County,YES,10631 Alexandria Pike,,ALEXANDRIA,KY,41001,8596352118,,,4,,-84.386956,38.906291,0,,,,,,YES,,,04/01/2007 00:00:00 MDT,NO,,Either,,,,,,,,,dan franzen,05/30/2006 00:00:00 MDT,,08/09/2007 00:00:00 MDT,,,YES,1,,,,,,,,NO,YES,NO,NO,YES,NO,NO,NO,2,,0,,,,YES,YES,YES,,,,,0,,,,,2,,,,,,,,,,,,,,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,,200,,,,,,,,,,,,YES,,,,,,,,,,,NO,,,NO,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Hal Simmons,National Headquarters (Do not affiliate with Shelters),03/30/2015 11:19:55 MDT
1762,420748,17340,Kentucky Region,ARC,ARC Managed,,Ezel Elementary,General,,NO,,3000,150,75,,Closed,B,31 Walnut Street,,,EZEL,KY,MORGAN,41425,7,,NO,RT 460,,EZEL,KY,41425,,,,4,,-83.4465573,37.890645,0,,,,,,,,,,,,Either,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Paul Kern,Kentucky Region,10/06/2015 09:12:03 MDT
4113,420748,17340,Kentucky Region,ARC,ARC Managed,,Collins Lane Elementary School,General,,NO,,1573,78,39,,Closed,B,1 Cougar Lane,,,Frankfort,KY,Franklin,40601,4,,NO,,,,,,5028758410,,,4,,-84.8894091,38.1786,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Dennis Lutz,Kentucky Region,08/13/2017 08:15:59 MDT
4114,420748,17340,Kentucky Region,ARC,ARC Managed,,Peaks Mill Elementary School,General,,NO,,9577,478,239,,Closed,B,100 Peaks Mill Road,,,Frankfort,KY,Franklin,40601,4,,NO,,,,,,,,,4,,-84.85107226,38.22661752,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,0,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,0,0,0,,,,,,,,,,,NO,,,,,,,,,,,NO,,,,NO,NO,,NO,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NATIONAL SHELTER SYSTEM,06/28/2006 02:32:11 MDT,Dennis Lutz,Kentucky Region,08/13/2017 07:27:43 MDT
