shelter,address,city,county,state,zip,longitude,latitude,phone,accepting,notes,source,private_notes,allow_pets,pets,unofficial,accessibility,active
East Valley Elementary School,"7585 Highway 172, , West Liberty, KY  41472",West Liberty,Morgan,KY,41472,-83.14652381,37.95510543,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:1154,"Evacuation Capacity: 250

Longterm Capacity: 0",false,Unknown,false,"",true
JCPS Doss High School,"7601 Saint Andrews Church Road, , Louisville, KY  40214",Louisville,Jefferson,KY,40214,-85.81315821,38.15445732,5024858275,no,"",SHAKEN_FURY_2019_BATCH_1_ID:1176,"Evacuation Capacity: 378

Longterm Capacity: 189",false,Unknown,false,"",true
F D Wilkinson Gym,"315 Ewing Street, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.88103888,38.19387187,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:1231,"Evacuation Capacity: 200

Longterm Capacity: 100",false,Unknown,false,"",true
Western Hills High School,"100 Doctors Drive, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.90699408,38.16139493,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:1246,"Evacuation Capacity: 500

Longterm Capacity: 250",false,Unknown,false,"",true
Morgan County Elementary School,"450 Prestonburg Road, , West Liberty, KY  41472",West Liberty,Morgan,KY,41472,-83.25468347,37.92102518,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:1347,"Evacuation Capacity: 200

Longterm Capacity: 0",false,Unknown,false,"",true
John W Reily Elementary School,"10631 Alexandria Pike, , ALEXANDRIA, KY  41001",ALEXANDRIA,CAMPBELL,KY,41001,-84.386956,38.906291,8596352118,no,"",SHAKEN_FURY_2019_BATCH_1_ID:1425,"Evacuation Capacity: 1400

Longterm Capacity: 700",false,Unknown,false,"",true
Ezel Elementary,"31 Walnut Street, , EZEL, KY  41425",EZEL,MORGAN,KY,41425,-83.4465573,37.890645,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:1762,"Evacuation Capacity: 150

Longterm Capacity: 75",false,Unknown,false,"",true
Collins Lane Elementary School,"1 Cougar Lane, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.8894091,38.1786,5028758410,no,"",SHAKEN_FURY_2019_BATCH_1_ID:4113,"Evacuation Capacity: 78

Longterm Capacity: 39",false,Unknown,false,"",true
Peaks Mill Elementary School,"100 Peaks Mill Road, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.85107226,38.22661752,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:4114,"Evacuation Capacity: 478

Longterm Capacity: 239",false,Unknown,false,"",true
Franklin County Career & Tech Center,"1106 East main Street, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.82304512,38.21025257,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:4118,"Evacuation Capacity: 30

Longterm Capacity: 0",false,Unknown,false,"",true
Morgan County Community Center,"450 Prestonburg Street, , WEST LIBERTY, KY  41472",WEST LIBERTY,MORGAN,KY,41472,-83.25468347,37.92102518,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:4317,"Evacuation Capacity: 50

Longterm Capacity: 25

Restrictions: This room is the gym area in the old WPA building at the county office building.",false,No,false,"",true
First Baptist Church,"85 Ash Street, , Calvert City, KY  42029",Calvert City,Marshall,KY,42029,-88.3493597,37.0313255,2703954600,no,"",SHAKEN_FURY_2019_BATCH_1_ID:4489,"Evacuation Capacity: 892

Longterm Capacity: 446

Restrictions: There are only designated uses for the emergency shelter which include the gym, cafeteria and full-service kitchen",false,No,false,"",true
Thornhill Baptist Church,"1142 Holmes Street, , FRANKFORT, KY  40601",FRANKFORT,FRANKLIN,KY,40601,-84.85351956,38.21478324,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:8225,"Evacuation Capacity: 200

Longterm Capacity: 100",false,Unknown,false,"",true
Westridge Elementary School,"200 Oak Ridge Dr, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.9076518,38.1983236,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:9405,"Evacuation Capacity: 250

Longterm Capacity: 125",false,Unknown,false,"",true
VFW Post 4075,"104 East Second Street, , FRANKFORT, KY  40601",FRANKFORT,FRANKLIN,KY,40601,-84.87418818,38.19477546,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:9555,"Evacuation Capacity: 166

Longterm Capacity: 0",false,Unknown,false,"",true
Bardstown Board of Education,"308 North Fifth Street, , BARDSTOWN, KY  40004",BARDSTOWN,NELSON,KY,40004,-85.46927772,37.81286959,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:12841,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Menifee County High School,"119 Indian Creek Road, , FRENCHBURG, KY  40322",FRENCHBURG,MENIFEE,KY,40322,-83.5681445,37.9233582,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:13785,"Evacuation Capacity: 200

Longterm Capacity: 100

Restrictions: Except when school is in sessiion.",false,Unknown,false,"",true
Morgan County Middle School,"380 Road to Success, , WEST LIBERTY, KY  41472",WEST LIBERTY,MORGAN,KY,41472,-83.2591302,37.8497346,"",no,General Notes: NSSResource lat/long changes 9/12,SHAKEN_FURY_2019_BATCH_1_ID:13787,"Evacuation Capacity: 200

Longterm Capacity: 100",false,Unknown,false,"",true
Morgan County High School,"150 Road to Success Street, , WEST LIBERTY, KY  41472",WEST LIBERTY,MORGAN,KY,41472,-83.2596216,37.9214758,"",no,General Notes: NSSResource lat/long changes 9/12,SHAKEN_FURY_2019_BATCH_1_ID:13841,"Evacuation Capacity: 250

Longterm Capacity: 125",false,Unknown,false,"",true
Franklin Crossroads Baptist Church,"4695 Hardensburg Road, , Cecilia, KY  42724",Cecilia,Hardin,KY,42724,-86.0252333,37.6735562,2708624825,no,General Notes: Pet sheltering accommodations provided by Hardin County Dog Warden and Pound,SHAKEN_FURY_2019_BATCH_1_ID:14639,"Evacuation Capacity: 268

Longterm Capacity: 134",true,Yes,false,"",true
Bondurant Middle School,"300 Bondurant Drive, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.90279114,38.16676936,5028758440,no,"",SHAKEN_FURY_2019_BATCH_1_ID:16764,"Evacuation Capacity: 425

Longterm Capacity: 212",false,Unknown,false,"",true
JCPS Academy at Shawnee,"4001 Herman Street, , Louisville, KY  40212",Louisville,Jefferson,KY,40212,-85.81505535,38.26232484,5024858326,no,"",SHAKEN_FURY_2019_BATCH_1_ID:17125,"Evacuation Capacity: 522

Longterm Capacity: 261",false,Unknown,false,"",true
Stithton Baptist Church,"95 Park Avenue, , Radcliff, KY  40160",Radcliff,Hardin,KY,40160,-85.9395835,37.84768381,2703516055,no,"Directions to Facility: The church is located less than 50 yards from Dixie Hwy (31W), going North towards Louisville.Park Ave. is located on the rightside of the church.

General Notes: building has showers, nursery area and kitchen building has elevator located by covered entrance panic button for police have fed up to 500 people on continuous rotation",SHAKEN_FURY_2019_BATCH_1_ID:17126,"Evacuation Capacity: 304

Longterm Capacity: 152",false,Unknown,false,"",true
Valley View Baptist Church,"8911 Third Street Road, , LOUISVILLE, KY  40272",LOUISVILLE,JEFFERSON,KY,40272,-85.81527475,38.11655154,5029355142,no,"",SHAKEN_FURY_2019_BATCH_1_ID:17134,"Evacuation Capacity: 360

Longterm Capacity: 180",false,Unknown,false,"",true
Capital City Christian Church,"15 Locust Lane, , FRANKFORT, KY  40601",FRANKFORT,FRANKLIN,KY,40601,-84.81830805,38.18456362,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:17143,"Evacuation Capacity: 2650

Longterm Capacity: 1325",false,Unknown,false,"",true
Elkhorn Elementary School,"928 East Main Street, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.83389228,38.20669054,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:17146,"Evacuation Capacity: 200

Longterm Capacity: 100",false,Unknown,false,"",true
Elkhorn Middle School,"1060 East Main Street, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.82735826,38.20883956,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:17147,"Evacuation Capacity: 482

Longterm Capacity: 241",false,Unknown,false,"",true
Franklin County High School,"1100 East Main Street, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.826899,38.211007,"",no,General Notes: Remapped 4/8/15 MAS NSS.,SHAKEN_FURY_2019_BATCH_1_ID:17148,"Evacuation Capacity: 2475

Longterm Capacity: 1237",false,No,false,"",true
Valley View Baptist Church,"501 Valley View Drive, , Vine Grove, KY  40175",Vine Grove,Hardin,KY,40175,-85.9691573,37.8149026,2708772150,no,"",SHAKEN_FURY_2019_BATCH_1_ID:17242,"Evacuation Capacity: 0

Longterm Capacity: 2",false,Unknown,false,"",true
Hearn Elementary School,"300 Copperleaf Blvd, , Frankfort, KY  40601",Frankfort,Franklin,KY,40601,-84.81381,38.19223,"",no,General Notes: Remapped Long/Lat SPanuska,SHAKEN_FURY_2019_BATCH_1_ID:17244,"Evacuation Capacity: 451

Longterm Capacity: 225",false,Unknown,false,"",true
JCPS Valley High School,"10200 Dixie Highway, , Louisville, KY  40272",Louisville,Jefferson,KY,40272,-85.86672101,38.10765288,"",no,"",SHAKEN_FURY_2019_BATCH_1_ID:17257,"Evacuation Capacity: 10

Longterm Capacity: 0",false,Unknown,false,"",true
Bagdad Baptist Church,"5790 Elmburg Road, , Bagdad, KY  40003",Bagdad,Shelby,KY,40003,-85.05922363,38.2593571,5027478933,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19832,"Evacuation Capacity: 1

Longterm Capacity: 0",false,Unknown,false,"",true
Cropper Baptist Church,"2164 Flood Road, , Pleasureville, KY  40057",Pleasureville,Henry,KY,40057,-85.11420174,38.31575744,"",no,"Directions to Facility: Hwy 55 N to Hwy 43 N approximately 12 miles; Hwy 43 to Hwy 241 church on the left

General Notes: Shelby County Shelter",SHAKEN_FURY_2019_BATCH_1_ID:19840,"Evacuation Capacity: 210

Longterm Capacity: 105

Restrictions: Not available for use the first week of June.",false,Unknown,false,"",true
Douglass Boulevard Christian Church,"2005 Douglass Boulevard, , LOUISVILLE, KY  40205",LOUISVILLE,JEFFERSON,KY,40205,-85.69374451,38.22468336,5024522629,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19841,"Evacuation Capacity: 232

Longterm Capacity: 116

Restrictions: Shelter will be in the Robison Family Life Center; 1st floor",true,Yes,false,"",true
Epiphany United Methodist Church,"7032 Southside Drive, , LOUISVILLE, KY  40214",LOUISVILLE,JEFFERSON,KY,40214,-85.76495821,38.15485242,5023689552,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19842,"Evacuation Capacity: 893

Longterm Capacity: 446",false,No,false,"",true
Fairdale Christian Church,"9000 Brown Austin Road, , FAIRDALE, KY  40118",FAIRDALE,JEFFERSON,KY,40118,-85.76955279,38.1219079,5023681858,no,General Notes: Family Life Center is the main facility. Also has a sanctuary that can be used as a shelter as well. Measurements: 56ft x 31ft,SHAKEN_FURY_2019_BATCH_1_ID:19843,"Evacuation Capacity: 255

Longterm Capacity: 127",false,No,false,"",true
First Baptist Church,"1516 Midland Trail, , SHELBYVILLE, KY  40065",SHELBYVILLE,SHELBY,KY,40065,-85.23650439,38.21244606,5026331317,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19844,"Evacuation Capacity: 350

Longterm Capacity: 175",false,No,false,"",true
First Church of Nazarene,"3503 Blanton Lane, , LOUISVILLE, KY  40214",LOUISVILLE,JEFFERSON,KY,40214,-85.82409743,38.1547508,5024491468,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19845,"Evacuation Capacity: 284

Longterm Capacity: 0",false,No,false,"",true
First Gethsemane Baptist Church,"1159 Algonquin Parkway, , LOUISVILLE, KY  40208",LOUISVILLE,JEFFERSON,KY,40208,-85.77471081,38.21647294,5026357906,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19846,"Evacuation Capacity: 396

Longterm Capacity: 198",false,Unknown,false,"",true
Hopewell Presbyterian Church,"13721 New Hopewell Road, , LOUISVILLE, KY  40299",LOUISVILLE,JEFFERSON,KY,40299,-85.50485588,38.18898759,5022670361,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19847,"Evacuation Capacity: 129

Longterm Capacity: 0",false,Unknown,false,"",true
JCPS Atherton High School,"3000 Dundee Road, , Louisville, KY  40205",Louisville,Jefferson,KY,40205,-85.688354,38.214012,5024858202,no,General Notes: Lat Long verified against www.latlong.net; do not change (Hal Simmons),SHAKEN_FURY_2019_BATCH_1_ID:19849,"Evacuation Capacity: 410

Longterm Capacity: 205",false,Unknown,false,"",true
JCPS Ballard High School,"6000 Brownsboro Road, , Louisville, KY  40222",Louisville,Jefferson,KY,40222,-85.62706304,38.28439908,5024858206,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19850,"Evacuation Capacity: 100

Longterm Capacity: 0",false,Unknown,false,"",true
JCPS Butler Traditional High,"2222 Crums Lane, , Louisville, KY  40216",Louisville,Jefferson,KY,40216,-85.8161539,38.19461012,5024858220,no,"",SHAKEN_FURY_2019_BATCH_1_ID:19853,"Evacuation Capacity: 822

Longterm Capacity: 411",false,Unknown,false,"",true
